name		ff, 1.98, .0	tt, 1.80, 25.0	ss, 1.62, 125.0
S		N		N		N
# RA1SH words=128 bits=4 mux=4 drive=12 pipeline=No frequency=1.000 ring width=2
geomx     	137.380   	137.380   	137.380   
geomy     	181.530   	181.530   	181.530   
ring_size 	8.160     	8.160     	8.160     
icc       	0.028     	0.024     	0.022     
icc_r     	0.028     	0.024     	0.022     
icc_w     	0.028     	0.024     	0.022     
icc_peak  	80.653    	52.411    	28.192    
icc_desel 	0.000     	0.000     	0.000     
tcyc      	0.664     	0.919     	1.670     
ta        	0.699     	1.021     	1.795     
tas       	0.166     	0.247     	0.490     
tah       	0.072     	0.095     	0.163     
tcs       	0.242     	0.317     	0.557     
tch       	0.000     	0.000     	0.000     
tws       	0.241     	0.322     	0.530     
twh       	0.000     	0.000     	0.000     
tds       	0.124     	0.179     	0.325     
tdh       	0.000     	0.000     	0.000     
thz       	0.411     	0.541     	0.904     
tlz       	0.355     	0.476     	0.791     
tckh      	0.058     	0.078     	0.147     
tckl      	0.078     	0.121     	0.240     
tckr      	4.000     	4.000     	4.000     
load_q    	0.261     	0.346     	0.542     
icap_a    	0.043     	0.042     	0.043     
icap_d    	0.006     	0.005     	0.005     
icap_clk  	0.228     	0.185     	0.193     
icap_cen  	0.018     	0.017     	0.018     
icap_wen  	0.015     	0.015     	0.015     
icap_oen  	0.009     	0.009     	0.009     
ocap_q    	0.022     	0.022     	0.022     
pwn_ck    	10.000    	10.000    	10.000    
vn_ck     	0.883     	0.859     	0.780     
vn_pwr    	0.198     	0.180     	0.162     
vn_gnd    	0.198     	0.180     	0.162     
